Cycle,TMP,Kb,Ki,Kc,Ks,y_pred
1,25.3438,0,0,0,3.180004862,0
1,25.4518,1.29E-09,154.797952,0.000708371,0.006522983,25.45172336
1,26.1896,7.21E-08,507.6325051,0.000742714,0.016011126,26.08806136
1,26.8752,1.98E-08,4075.990191,0.00944833,0.004958823,26.77204009
1,27.4724,3.61E-08,4588.293102,0.01029744,0.000443485,27.41407195
1,27.1149,5.44E-08,1894.368745,0.006040059,0.006759772,27.52822195
1,26.2424,4.86E-08,1586.492041,7.33E-05,0.001666195,27.16177089
1,26.1939,2.28E-08,2.761094717,0.007742202,1.23E-06,26.90833516
1,26.9377,2.00E-08,782.424484,0.000540241,0.002498037,27.01550097
1,27.1539,1.29E-08,2084.493023,2.45E-10,3.24E-08,27.34239254
1,26.6578,1.59E-08,65.69197189,0.004860627,0.000750672,27.10140672
1,26.1517,3.14E-09,297.2574526,0.00253677,0.000908027,26.90321275
1,26.0167,3.45E-09,150.1965154,0.001817977,8.47E-05,26.7164056
1,26.4849,2.63E-11,6.158152498,0.002415703,0.000324787,26.69355353
1,26.6182,7.67E-09,1.457838964,0.00079318,0.000440822,26.70087524
1,26.1774,4.46E-09,158.8035558,3.04E-08,7.62E-09,26.612554
1,25.6199,4.99E-09,117.6325086,1.49E-08,1.46E-08,26.55863186
1,25.5464,4.59E-09,94.55715535,1.06E-08,1.37E-08,26.49969731
1,26.1691,6.37E-09,523.5443604,3.18E-09,6.05E-09,26.82684564
1,26.7942,2.00E-09,910.1378396,6.13E-09,4.24E-09,27.05085908
1,27.2023,1.27E-08,430.1928827,4.39E-09,2.07E-09,27.02535275
1,27.5085,4.41E-09,351.5177475,3.94E-09,4.53E-09,26.84171236
1,27.7189,5.55E-09,332.1549468,1.49E-06,1.46E-08,26.9314501
1,28.4774,1.72E-09,1420.249143,1.34E-08,0,27.83717178
1,30.7239,1.55E-09,2398.218203,1.07E-08,8.84E-09,28.84029659
1,33.7138,1.38E-10,477.5957402,2.44E-09,0.006995008,28.81675097
1,35.8948,1.28E-08,5141.712307,6.53E-09,3.22E-09,32.09159722
1,37.7757,1.19E-08,95.96625045,9.13E-09,0.014021866,31.92126721
1,38.5982,1.21E-08,6067.414684,1.29E-07,5.10E-08,33.98966092
