Cycle,TMP,Kb,Ki,Kc,Ks,y_pred
28,7.71450649,0,0,0,2.53953969,NaN
28,7.743265765,2.15E-08,529.6358454,0.000432079,0.000202641,7.743308839
28,7.873815948,7.81E-08,2092.434905,1.42E-08,1.18E-08,7.878621244
28,7.461021686,-1.59E-08,-0.029619286,-0.01382392,0.000514834,7.60517064
28,7.200863931,-1.43E-07,-1679.369972,-0.000280601,8.19E-05,7.344172393
28,7.307533959,-8.71E-08,-821.5192346,-0.012356314,0.001200842,7.264491539
28,7.276386298,-2.10E-08,-193.177477,-0.016572242,9.26E-09,7.273346332
28,7.015706044,-1.03E-08,-60.43594419,-0.023549389,1.78E-07,7.117422237
28,7.075403864,-3.93E-08,-382.4835591,-0.018490393,0.000130505,7.008975558
28,7.508480274,-1.90E-08,-132.9904952,-0.005370918,6.76E-09,7.262579099
28,7.73935269,7.90E-11,42.28541764,5.84E-09,1.95E-09,7.451962771
28,7.688221979,-2.52E-09,-96.19687665,-0.000564306,4.32E-09,7.435520276
28,7.317694607,-2.88E-08,-14.26135713,-0.008059704,0.007612211,7.342352415
28,7.132069105,-4.06E-08,-1191.951266,-0.011125432,0.016049248,7.294618685
28,7.25521834,-3.72E-08,-943.107572,-0.008119245,0.011955569,7.264107295
28,7.370009078,-5.49E-09,-398.6801688,-0.005665115,0.003075673,7.258429202
28,7.359900733,-2.25E-08,-726.1146614,-0.005492057,0.007812538,7.272298835
28,7.050334884,-5.42E-08,-694.7246682,-0.009885354,0.014702308,7.228704432
28,7.216376529,-5.61E-09,-293.2284146,-0.006136741,0.002787137,7.188794386
28,7.651600305,-2.08E-09,-0.246909627,-0.000812265,1.47E-08,7.356835726
28,7.462453626,-9.21E-09,-498.5932775,-0.003138481,0.004193071,7.286880661
28,7.413213874,-1.90E-08,-18.47702166,-0.003571443,0.003974814,7.294687433
28,7.937054954,2.19E-09,0.968994141,5.57E-09,0,7.440464395
28,8.06397136,1.04E-08,477.6470495,1.09E-08,6.17E-09,7.648754883
28,7.639756272,-3.99E-09,-101.6232761,-0.000772757,0.003330099,7.526945669
28,7.402069439,-1.28E-08,-409.6166393,-0.003154974,0.007977032,7.535039246
28,7.203135806,-1.25E-08,-1.663843663,-0.005040114,0.007132304,7.48354735
28,7.290761947,-2.16E-08,-596.9814928,-0.004003282,0.009574547,7.478760629
28,7.649697072,-6.43E-10,-9.670420705,-0.000577201,0.001190884,7.474055833
