Cycle,TMP,Kb,Ki,Kc,Ks,y_pred,COD,TN,SS,del_TMP,del_TMP_accu,slope
28,7.71450649,0,0,0,2.53953969,NaN,111.28,49.012,175.56,0,0,0
28,7.743265765,2.15E-08,529.6358454,0.000432079,0.000202641,7.743308839,112.6,49.296,177.56,0.028759275,0.028759275,0.0143796375
28,7.873815948,7.81E-08,2092.434905,1.42E-08,1.18E-08,7.878621244,111.54,49.19,174.0066667,0.130550183,0.159309458,0.0531031527
28,7.461021686,-1.59E-08,-0.029619286,-0.01382392,0.000514834,7.60517064,109.4866667,48.826,169.7866667,-0.412794262,-0.253484804,-0.063371201
28,7.200863931,-1.43E-07,-1679.369972,-0.000280601,8.19E-05,7.344172393,107.2066667,48.88,169.56,-0.260157755,-0.513642559,-0.102728512
28,7.307533959,-8.71E-08,-821.5192346,-0.012356314,0.001200842,7.264491539,108.52,49.54,173.7866667,0.106670028,-0.406972531,-0.0678287552
28,7.276386298,-2.10E-08,-193.177477,-0.016572242,9.26E-09,7.273346332,106.9466667,48.912,172.2333333,-0.031147661,-0.438120192,-0.0625885989
28,7.015706044,-1.03E-08,-60.43594419,-0.023549389,1.78E-07,7.117422237,105.0933333,48.65,170.9,-0.260680254,-0.698800446,-0.0873500557
28,7.075403864,-3.93E-08,-382.4835591,-0.018490393,0.000130505,7.008975558,103.8266667,47.658,169.7866667,0.05969782,-0.639102626,-0.0710114029
28,7.508480274,-1.90E-08,-132.9904952,-0.005370918,6.76E-09,7.262579099,106.1,48.738,179.7866667,0.43307641,-0.206026216,-0.0206026216
28,7.73935269,7.90E-11,42.28541764,5.84E-09,1.95E-09,7.451962771,105.5466667,48.922,176.6733333,0.230872416,0.0248462,0.00225874545
28,7.688221979,-2.52E-09,-96.19687665,-0.000564306,4.32E-09,7.435520276,105.7266667,49.912,174.9,-0.051130711,-0.026284511,-0.00219037592
28,7.317694607,-2.88E-08,-14.26135713,-0.008059704,0.007612211,7.342352415,105.3466667,50.49933333,175.34,-0.370527372,-0.396811883,-0.030523991
