Cycle1,,,,,Cycle2,,,,,Cycle3,,,,,Cycle4,,,,,Cycle5,,,,,Cycle6,,,,,Cycle7,,,,,Cycle8,,,,,Cycle9,,,,,Cycle10,,,,,Cycle11,,,,,Cycle12,,,,,Cycle13,,,,,Cycle14,,,,,Cycle15,,,,,Cycle16,,,,,Cycle17,,,,,Cycle18,,,,,Cycle19,,,,,Cycle20,,,,,Cycle21,,,,,Cycle22,,,,,Cycle23,,,,,Cycle24,,,,,Cycle25,,,,,Cycle26,,,,,Cycle27,,,,,Cycle28,,,,,Cycle29,,,,,Cycle30,,,,,Cycle31,,,,,Cycle32,,,,,Cycle33,,,,,Cycle34,,,,,Cycle35,,,,,Cycle36,,,,,Cycle37,,,,,Cycle38,,,,,Cycle39,,,,,Cycle40,,,,
idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope
1,25.3,0.00,0.00,0.00,1,13.19722401,0.00,0.00,0.00,1,6.955639559,0.00,0.00,0.00,1,10.27211285,0.00,0.00,0.00,1,11.08467291,0.00,0.00,0.00,1,15.22062566,0.00,0.00,0.00,1,15.85185737,0.00,0.00,0.00,1,27.96528414,0.00,0.00,0.00,1,55.4376267,0.00,0.00,0.00,1,59.48147504,0.00,0.00,0.00,1,43.51560176,0.00,0.00,0.00,1,46.50434233,0.00,0.00,0.00,1,23.27084355,0.00,0.00,0.00,1,21.70738064,0.00,0.00,0.00,1,21.05391455,0.00,0.00,0.00,1,22.63237631,0.00,0.00,0.00,1,24.94169791,0.00,0.00,0.00,1,27.30803344,0.00,0.00,0.00,1,34.71510434,0.00,0.00,0.00,1,33.99446643,0.00,0.00,0.00,1,38.19242397,0.00,0.00,0.00,1,40.77834817,0.00,0.00,0.00,1,41.89364041,0.00,0.00,0.00,1,42.9291155,0.00,0.00,0.00,1,40.17653027,0.00,0.00,0.00,1,42.09250922,0.00,0.00,0.00,1,38.83929248,0.00,0.00,0.00,1,7.71450649,0.00,0.00,0.00,1,13.02357736,0.00,0.00,0.00,1,15.95203389,0.00,0.00,0.00,1,24.88316254,0.00,0.00,0.00,1,20.9112903,0.00,0.00,0.00,1,19.27365013,0.00,0.00,0.00,1,20.84657227,0.00,0.00,0.00,1,21.61172674,0.00,0.00,0.00,1,18.10704873,0.00,0.00,0.00,1,15.20981164,0.00,0.00,0.00,1,18.12514164,0.00,0.00,0.00,1,15.17052521,0.00,0.00,0.00,1,21.4861028,0.00,0.00,0.00
2,25.5,0.11,0.11,0.05,2,13.22498863,0.03,-12.12,-6.06,2,6.900917108,-0.05,-18.44,-9.22,2,9.597032874,-0.68,-15.75,-7.87,2,11.29485826,0.21,-14.05,-7.02,2,15.50010959,0.28,-9.84,-4.92,2,15.63212135,-0.22,-9.71,-4.86,2,28.23521411,0.27,2.89,1.45,2,55.69574555,0.26,30.35,15.18,2,60.36364916,0.88,35.02,17.51,2,42.07128833,-1.44,16.73,8.36,2,46.58722841,0.08,21.24,10.62,2,23.97130825,0.70,-1.37,-0.69,2,22.62508268,0.92,-2.72,-1.36,2,21.17069573,0.12,-4.17,-2.09,2,23.26293775,0.63,-2.08,-1.04,2,25.62318763,0.68,0.28,0.14,2,27.75159708,0.44,2.41,1.20,2,34.50452996,-0.21,9.16,4.58,2,34.77741443,0.78,9.43,4.72,2,39.70695423,1.51,14.36,7.18,2,40.82747169,0.05,15.48,7.74,2,42.88571423,0.99,17.54,8.77,2,43.20666744,0.28,17.86,8.93,2,40.36370441,0.19,15.02,7.51,2,42.58311326,0.49,17.24,8.62,2,39.09234401,0.25,13.75,6.87,2,7.743265765,0.03,-17.60,-8.80,2,13.25896343,0.24,-12.08,-6.04,2,16.65786305,0.71,-8.69,-4.34,2,24.90516635,0.02,-0.44,-0.22,2,21.11924746,0.21,-4.22,-2.11,2,19.15992041,-0.11,-6.18,-3.09,2,21.20681025,0.36,-4.14,-2.07,2,21.00842651,-0.60,-4.34,-2.17,2,18.40846378,0.30,-6.94,-3.47,2,15.22595152,0.02,-10.12,-5.06,2,18.60812159,0.48,-6.74,-3.37,2,15.24822495,0.08,-10.10,-5.05,2,21.50427464,0.02,-3.84,-1.92
3,26.2,0.74,0.85,0.28,3,13.74172755,0.52,-11.60,-3.87,3,6.838666551,-0.06,-18.51,-6.17,3,9.122273022,-0.47,-16.22,-5.41,3,11.51935514,0.22,-13.82,-4.61,3,15.77274095,0.27,-9.57,-3.19,3,15.86831465,0.24,-9.48,-3.16,3,28.97397033,0.74,3.63,1.21,3,55.85290577,0.16,30.51,10.17,3,61.01364043,0.65,35.67,11.89,3,42.4799466,0.41,17.14,5.71,3,47.08234796,0.50,21.74,7.25,3,24.29243679,0.32,-1.05,-0.35,3,23.61840832,0.99,-1.73,-0.58,3,21.36168785,0.19,-3.98,-1.33,3,24.3264503,1.06,-1.02,-0.34,3,26.49416953,0.87,1.15,0.38,3,28.19561432,0.44,2.85,0.95,3,34.83788662,0.33,9.49,3.16,3,35.98272326,1.21,10.64,3.55,3,41.85158594,2.14,16.51,5.50,3,41.11646708,0.29,15.77,5.26,3,44.02602674,1.14,18.68,6.23,3,45.21857317,2.01,19.87,6.62,3,41.40014276,1.04,16.06,5.35,3,43.60841186,1.03,18.26,6.09,3,39.27320983,0.18,13.93,4.64,3,7.873815948,0.13,-17.47,-5.82,3,13.42349086,0.16,-11.92,-3.97,3,16.86063947,0.20,-8.48,-2.83,3,25.6322751,0.73,0.29,0.10,3,21.05025631,-0.07,-4.29,-1.43,3,19.14619908,-0.01,-6.20,-2.07,3,22.04603056,0.84,-3.30,-1.10,3,21.00170813,-0.01,-4.34,-1.45,3,18.80590429,0.40,-6.54,-2.18,3,15.03972661,-0.19,-10.30,-3.43,3,19.10884226,0.50,-6.23,-2.08,3,15.17154623,-0.08,-10.17,-3.39,3,21.1780777,-0.33,-4.17,-1.39
4,26.9,0.69,1.53,0.38,4,14.36752253,0.63,-10.98,-2.74,4,7.014736911,0.18,-18.33,-4.58,4,9.037874441,-0.08,-16.31,-4.08,4,11.53952101,0.02,-13.80,-3.45,4,15.73967325,-0.03,-9.60,-2.40,4,16.00675304,0.14,-9.34,-2.33,4,30.63360629,1.66,5.29,1.32,4,55.90150143,0.05,30.56,7.64,4,61.40845613,0.39,36.06,9.02,4,44.64421888,2.16,19.30,4.83,4,48.11086066,1.03,22.77,5.69,4,24.33592041,0.04,-1.01,-0.25,4,23.77303723,0.15,-1.57,-0.39,4,21.57554705,0.21,-3.77,-0.94,4,25.01147577,0.69,-0.33,-0.08,4,26.96524165,0.47,1.62,0.41,4,28.88669955,0.69,3.54,0.89,4,35.18193509,0.34,9.84,2.46,4,37.41132268,1.43,12.07,3.02,4,43.69014175,1.84,18.35,4.59,,,,,,4,45.35650598,1.33,20.01,5.00,4,45.35008856,0.13,20.01,5.00,4,42.94477614,1.54,17.60,4.40,4,44.81531702,1.21,19.47,4.87,4,39.54207832,0.27,14.20,3.55,4,7.461021686,-0.41,-17.88,-4.47,4,13.00699477,-0.42,-12.34,-3.08,4,16.67190324,-0.19,-8.67,-2.17,4,26.32594064,0.69,0.98,0.25,4,20.77851766,-0.27,-4.57,-1.14,4,19.34428553,0.20,-6.00,-1.50,4,22.96679047,0.92,-2.38,-0.59,4,21.3738738,0.37,-3.97,-0.99,,,,,,4,14.6937609,-0.35,-10.65,-2.66,,,,,,4,14.90018298,-0.27,-10.44,-2.61,4,20.88663891,-0.29,-4.46,-1.11
5,27.5,0.60,2.13,0.43,5,14.2307838,-0.14,-11.11,-2.22,5,7.091058711,0.08,-18.25,-3.65,5,9.767243562,0.73,-15.58,-3.12,5,11.43989389,-0.10,-13.90,-2.78,5,16.15880202,0.42,-9.18,-1.84,5,16.05360134,0.05,-9.29,-1.86,5,32.95636921,2.32,7.61,1.52,5,55.03443566,-0.87,29.69,5.94,5,61.58720263,0.18,36.24,7.25,5,46.19248228,1.55,20.85,4.17,5,49.24278411,1.13,23.90,4.78,5,24.25913365,-0.08,-1.08,-0.22,5,23.40236264,-0.37,-1.94,-0.39,5,21.74873266,0.17,-3.60,-0.72,5,24.86681807,-0.14,-0.48,-0.10,5,27.6618888,0.70,2.32,0.46,5,30.04631618,1.16,4.70,0.94,,,,,,5,38.57732914,1.17,13.23,2.65,5,45.17320348,1.48,19.83,3.97,,,,,,5,46.95417901,1.60,21.61,4.32,,,,,,5,43.73981291,0.80,18.40,3.68,5,46.53697714,1.72,21.19,4.24,5,41.85468935,2.31,16.51,3.30,5,7.200863931,-0.26,-18.14,-3.63,5,12.92397342,-0.08,-12.42,-2.48,5,16.92396453,0.25,-8.42,-1.68,,,,,,5,20.27714629,-0.50,-5.07,-1.01,5,19.45537855,0.11,-5.89,-1.18,5,23.1576667,0.19,-2.19,-0.44,5,21.90880984,0.53,-3.43,-0.69,,,,,,5,14.74629109,0.05,-10.60,-2.12,,,,,,5,14.80980481,-0.09,-10.53,-2.11,5,21.20803645,0.32,-4.14,-0.83
6,27.1,-0.36,1.77,0.30,6,14.18940064,-0.04,-11.15,-1.86,6,6.954335239,-0.14,-18.39,-3.06,6,10.18234486,0.42,-15.16,-2.53,6,11.29820296,-0.14,-14.05,-2.34,6,16.86738009,0.71,-8.48,-1.41,6,16.23106495,0.18,-9.11,-1.52,6,35.27923244,2.32,9.94,1.66,6,53.34142888,-1.69,28.00,4.67,,,,,,6,47.17414789,0.98,21.83,3.64,6,50.40090959,1.16,25.06,4.18,6,24.43411242,0.17,-0.91,-0.15,6,23.3347594,-0.07,-2.01,-0.33,6,22.34632785,0.60,-3.00,-0.50,6,24.7511121,-0.12,-0.59,-0.10,6,27.97687904,0.31,2.63,0.44,6,31.10833044,1.06,5.76,0.96,,,,,,6,39.37174675,0.79,14.03,2.34,6,46.12780753,0.95,20.78,3.46,,,,,,6,48.10957113,1.16,22.77,3.79,,,,,,6,44.41082277,0.67,19.07,3.18,6,48.31907054,1.78,22.98,3.83,6,43.22603478,1.37,17.88,2.98,6,7.307533959,0.11,-18.04,-3.01,6,13.21905264,0.30,-12.12,-2.02,6,17.16566451,0.24,-8.18,-1.36,,,,,,6,20.14884694,-0.13,-5.19,-0.87,6,20.07036752,0.61,-5.27,-0.88,6,22.97000765,-0.19,-2.37,-0.40,6,21.95562903,0.05,-3.39,-0.56,,,,,,6,14.85077195,0.10,-10.49,-1.75,,,,,,6,15.30789784,0.50,-10.04,-1.67,6,21.56342497,0.36,-3.78,-0.63
7,26.2,-0.87,0.90,0.13,7,14.48392444,0.29,-10.86,-1.55,7,7.115212393,0.16,-18.23,-2.60,7,10.43132501,0.25,-14.91,-2.13,7,11.46351135,0.17,-13.88,-1.98,7,17.36155731,0.49,-7.98,-1.14,7,16.68424601,0.45,-8.66,-1.24,7,36.83357479,1.55,11.49,1.64,7,53.14218732,-0.20,27.80,3.97,,,,,,7,47.38062585,0.21,22.04,3.15,7,50.94158788,0.54,25.60,3.66,7,24.66586693,0.23,-0.68,-0.10,7,23.75536733,0.42,-1.59,-0.23,7,22.97142259,0.63,-2.37,-0.34,7,25.03931903,0.29,-0.30,-0.04,7,28.21630732,0.24,2.87,0.41,7,32.19935727,1.09,6.86,0.98,,,,,,7,39.88330858,0.51,14.54,2.08,7,46.58256628,0.45,21.24,3.03,,,,,,7,49.11304324,1.00,23.77,3.40,,,,,,,,,,,7,49.3723221,1.05,24.03,3.43,7,43.34869457,0.12,18.00,2.57,7,7.276386298,-0.03,-18.07,-2.58,7,12.93366222,-0.29,-12.41,-1.77,7,17.07598484,-0.09,-8.27,-1.18,,,,,,7,20.32923719,0.18,-5.01,-0.72,7,20.93651983,0.87,-4.41,-0.63,7,22.7689954,-0.20,-2.57,-0.37,7,21.50463957,-0.45,-3.84,-0.55,,,,,,7,14.60360887,-0.25,-10.74,-1.53,,,,,,7,15.86797642,0.56,-9.48,-1.35,7,21.51077402,-0.05,-3.83,-0.55
8,26.2,-0.05,0.85,0.11,8,14.58783034,0.10,-10.76,-1.34,8,7.559760459,0.44,-17.78,-2.22,8,10.7075819,0.28,-14.64,-1.83,8,11.90966692,0.45,-13.43,-1.68,8,17.43089022,0.07,-7.91,-0.99,8,17.12129305,0.44,-8.22,-1.03,8,37.9143944,1.08,12.57,1.57,8,53.45157574,0.31,28.11,3.51,,,,,,8,47.28490303,-0.10,21.94,2.74,8,51.26736894,0.33,25.92,3.24,8,24.87637845,0.21,-0.47,-0.06,8,23.83126036,0.08,-1.51,-0.19,8,23.21938022,0.25,-2.12,-0.27,8,25.28382588,0.24,-0.06,-0.01,8,28.39512838,0.18,3.05,0.38,8,32.9339709,0.73,7.59,0.95,,,,,,8,40.90954769,1.03,15.57,1.95,8,46.50189661,-0.08,21.16,2.64,,,,,,8,49.45487017,0.34,24.11,3.01,,,,,,,,,,,8,50.05430826,0.68,24.71,3.09,,,,,,8,7.015706044,-0.26,-18.33,-2.29,8,12.66250471,-0.27,-12.68,-1.59,8,16.70166991,-0.37,-8.64,-1.08,,,,,,8,20.81090362,0.48,-4.53,-0.57,8,21.60150012,0.66,-3.74,-0.47,8,22.97161355,0.20,-2.37,-0.30,8,20.93043484,-0.57,-4.41,-0.55,,,,,,8,14.21869253,-0.38,-11.13,-1.39,,,,,,8,16.43209327,0.56,-8.91,-1.11,8,21.42496113,-0.09,-3.92,-0.49
9,26.9,0.74,1.59,0.18,9,14.47653437,-0.11,-10.87,-1.21,9,7.678204737,0.12,-17.67,-1.96,9,10.79668292,0.09,-14.55,-1.62,9,12.29719176,0.39,-13.05,-1.45,9,17.76966779,0.34,-7.57,-0.84,9,17.03696406,-0.08,-8.31,-0.92,9,39.43602673,1.52,14.09,1.57,9,53.8458839,0.39,28.50,3.17,,,,,,9,48.06646494,0.78,22.72,2.52,9,51.3150467,0.05,25.97,2.89,9,24.99003089,0.11,-0.35,-0.04,9,23.53743797,-0.29,-1.81,-0.20,9,23.23988414,0.02,-2.10,-0.23,9,25.45929128,0.18,0.12,0.01,9,29.19026736,0.80,3.85,0.43,9,33.26254396,0.33,7.92,0.88,,,,,,9,42.09399909,1.18,16.75,1.86,9,47.10169807,0.60,21.76,2.42,,,,,,,,,,,,,,,,,,,,,9,50.12617252,0.07,24.78,2.75,,,,,,9,7.075403864,0.06,-18.27,-2.03,9,12.96975623,0.31,-12.37,-1.37,9,16.52756427,-0.17,-8.82,-0.98,,,,,,9,21.08229909,0.27,-4.26,-0.47,9,21.32507474,-0.28,-4.02,-0.45,9,23.77680461,0.81,-1.57,-0.17,9,20.50704902,-0.42,-4.84,-0.54,,,,,,9,14.07155593,-0.15,-11.27,-1.25,,,,,,9,16.69229173,0.26,-8.65,-0.96,9,21.54767176,0.12,-3.80,-0.42
10,27.2,0.22,1.81,0.18,10,14.45363654,-0.02,-10.89,-1.09,10,7.654944162,-0.02,-17.69,-1.77,10,10.50552035,-0.29,-14.84,-1.48,10,12.15129867,-0.15,-13.19,-1.32,10,18.0373853,0.27,-7.31,-0.73,10,16.64558516,-0.39,-8.70,-0.87,10,40.7867155,1.35,15.44,1.54,10,54.3451255,0.50,29.00,2.90,,,,,,10,49.22016073,1.15,23.88,2.39,10,51.4717487,0.16,26.13,2.61,10,25.14814865,0.16,-0.20,-0.02,10,23.413961,-0.12,-1.93,-0.19,10,23.60181624,0.36,-1.74,-0.17,10,25.9680008,0.51,0.62,0.06,10,30.11646864,0.93,4.77,0.48,10,33.87833685,0.62,8.53,0.85,,,,,,10,42.80049838,0.71,17.46,1.75,10,46.64676156,-0.45,21.30,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,7.508480274,0.43,-17.84,-1.78,10,13.08561604,0.12,-12.26,-1.23,10,16.46262546,-0.06,-8.88,-0.89,,,,,,10,21.08485831,0.00,-4.26,-0.43,10,20.88385875,-0.44,-4.46,-0.45,10,24.57741015,0.80,-0.77,-0.08,10,20.31346238,-0.19,-5.03,-0.50,,,,,,10,14.19092212,0.12,-11.15,-1.12,,,,,,10,16.43904033,-0.25,-8.90,-0.89,10,21.85091749,0.30,-3.49,-0.35
