Parameter,Cycle,Type1,Type2,Type3,Type4
TMP_i,1,0,0,0,0
TMP_i,2,0,0,0,0
TMP_i,3,0,0,0,0
TMP_i,4,0,0,0,0
TMP_i,5,0,0,0,0
TMP_i,6,0,0,0,0
TMP_i,7,1,0,0,0
TMP_i,8,1,0,0,0
TMP_i,9,0,0,0,0
TMP_i,10,0,0,0,0
TMP_i,11,0,2,0,0
TMP_i,12,0,0,0,0
TMP_i,13,0,0,0,0
TMP_i,14,0,0,0,0
TMP_i,15,0,0,0,0
TMP_i,16,0,0,0,0
TMP_i,17,0,0,0,0
TMP_i,18,0,0,0,0
TMP_i,19,0,0,0,0
TMP_i,20,0,0,0,0
TMP_i,21,0,0,0,0
TMP_i,22,0,0,0,0
TMP_i,23,0,2,0,0
TMP_i,24,1,2,3,0
TMP_i,25,1,2,3,0
TMP_i,26,0,0,0,0
TMP_i,27,0,0,0,0
TMP_i,28,0,0,0,0
TMP_i,29,0,0,0,0
TMP_i,30,0,0,0,0
TMP_i,31,0,0,0,0
TMP_i,32,0,0,0,0
TMP_i,33,0,0,0,0
TMP_i,34,0,0,0,0
TMP_i,35,0,0,0,0
TMP_i,36,0,0,0,0
TMP_i,37,0,0,0,0
TMP_i,38,0,0,0,0
TMP_f,1,0,0,0,0
TMP_f,2,0,0,0,0
TMP_f,3,0,0,0,0
TMP_f,4,0,0,0,0
TMP_f,5,0,0,0,0
TMP_f,6,0,0,0,0
TMP_f,7,0,0,0,0
TMP_f,8,0,0,0,0
TMP_f,9,0,0,0,0
TMP_f,10,0,2,0,4
TMP_f,11,0,2,0,4
TMP_f,12,1,2,0,0
TMP_f,13,0,0,0,0
TMP_f,14,0,0,0,0
TMP_f,15,0,0,0,0
TMP_f,16,0,0,0,0
TMP_f,17,0,0,0,0
TMP_f,18,0,0,0,0
TMP_f,19,0,0,0,0
TMP_f,20,0,0,0,0
TMP_f,21,0,0,0,0
TMP_f,22,0,0,0,0
TMP_f,23,0,0,0,0
TMP_f,24,1,0,3,0
TMP_f,25,1,0,3,0
TMP_f,26,0,0,0,0
TMP_f,27,0,0,0,0
TMP_f,28,0,0,0,0
TMP_f,29,0,0,0,0
