Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9,Cycle10,Cycle11,Cycle12,Cycle13,Cycle14,Cycle15,Cycle16,Cycle17,Cycle18,Cycle19,Cycle20,Cycle21,Cycle22,Cycle23,Cycle24,Cycle25,Cycle26,Cycle27,Cycle28,Cycle29,Cycle30,Cycle31,Cycle32,Cycle33,Cycle34,Cycle35,Cycle36,Cycle37,Cycle38,Cycle39,Cycle40
25.3438,13.19722401,6.955639559,10.27211285,11.08467291,15.22062566,15.85185737,27.96528414,55.4376267,59.48147504,43.51560176,46.50434233,23.27084355,21.70738064,21.05391455,22.63237631,24.94169791,27.30803344,34.71510434,33.99446643,38.19242397,40.77834817,41.89364041,42.9291155,40.17653027,42.09250922,38.83929248,7.71450649,13.02357736,15.95203389,24.88316254,20.9112903,19.27365013,20.84657227,21.61172674,18.10704873,15.20981164,18.12514164,15.17052521,21.4861028
25.4518,13.22498863,6.900917108,9.597032874,11.29485826,15.50010959,15.63212135,28.23521411,55.69574555,60.36364916,42.07128833,46.58722841,23.97130825,22.62508268,21.17069573,23.26293775,25.62318763,27.75159708,34.50452996,34.77741443,39.70695423,40.82747169,42.88571423,43.20666744,40.36370441,42.58311326,39.09234401,7.743265765,13.25896343,16.65786305,24.90516635,21.11924746,19.15992041,21.20681025,21.00842651,18.40846378,15.22595152,18.60812159,15.24822495,21.50427464
26.1896,13.74172755,6.838666551,9.122273022,11.51935514,15.77274095,15.86831465,28.97397033,55.85290577,61.01364043,42.4799466,47.08234796,24.29243679,23.61840832,21.36168785,24.3264503,26.49416953,28.19561432,34.83788662,35.98272326,41.85158594,41.11646708,44.02602674,45.21857317,41.40014276,43.60841186,39.27320983,7.873815948,13.42349086,16.86063947,25.6322751,21.05025631,19.14619908,22.04603056,21.00170813,18.80590429,15.03972661,19.10884226,15.17154623,21.1780777
26.8752,14.36752253,7.014736911,9.037874441,11.53952101,15.73967325,16.00675304,30.63360629,55.90150143,61.40845613,44.64421888,48.11086066,24.33592041,23.77303723,21.57554705,25.01147577,26.96524165,28.88669955,35.18193509,37.41132268,43.69014175,NaN,45.35650598,45.35008856,42.94477614,44.81531702,39.54207832,7.461021686,13.00699477,16.67190324,26.32594064,20.77851766,19.34428553,22.96679047,21.3738738,NaN,14.6937609,NaN,14.90018298,20.88663891
27.4724,14.2307838,7.091058711,9.767243562,11.43989389,16.15880202,16.05360134,32.95636921,55.03443566,61.58720263,46.19248228,49.24278411,24.25913365,23.40236264,21.74873266,24.86681807,27.6618888,30.04631618,NaN,38.57732914,45.17320348,NaN,46.95417901,NaN,43.73981291,46.53697714,41.85468935,7.200863931,12.92397342,16.92396453,NaN,20.27714629,19.45537855,23.1576667,21.90880984,NaN,14.74629109,NaN,14.80980481,21.20803645
27.1149,14.18940064,6.954335239,10.18234486,11.29820296,16.86738009,16.23106495,35.27923244,53.34142888,NaN,47.17414789,50.40090959,24.43411242,23.3347594,22.34632785,24.7511121,27.97687904,31.10833044,NaN,39.37174675,46.12780753,NaN,48.10957113,NaN,44.41082277,48.31907054,43.22603478,7.307533959,13.21905264,17.16566451,NaN,20.14884694,20.07036752,22.97000765,21.95562903,NaN,14.85077195,NaN,15.30789784,21.56342497
26.2424,14.48392444,7.115212393,10.43132501,11.46351135,17.36155731,16.68424601,36.83357479,53.14218732,NaN,47.38062585,50.94158788,24.66586693,23.75536733,22.97142259,25.03931903,28.21630732,32.19935727,NaN,39.88330858,46.58256628,NaN,49.11304324,NaN,NaN,49.3723221,43.34869457,7.276386298,12.93366222,17.07598484,NaN,20.32923719,20.93651983,22.7689954,21.50463957,NaN,14.60360887,NaN,15.86797642,21.51077402
26.1939,14.58783034,7.559760459,10.7075819,11.90966692,17.43089022,17.12129305,37.9143944,53.45157574,NaN,47.28490303,51.26736894,24.87637845,23.83126036,23.21938022,25.28382588,28.39512838,32.9339709,NaN,40.90954769,46.50189661,NaN,49.45487017,NaN,NaN,50.05430826,NaN,7.015706044,12.66250471,16.70166991,NaN,20.81090362,21.60150012,22.97161355,20.93043484,NaN,14.21869253,NaN,16.43209327,21.42496113
26.9377,14.47653437,7.678204737,10.79668292,12.29719176,17.76966779,17.03696406,39.43602673,53.8458839,NaN,48.06646494,51.3150467,24.99003089,23.53743797,23.23988414,25.45929128,29.19026736,33.26254396,NaN,42.09399909,47.10169807,NaN,NaN,NaN,NaN,50.12617252,NaN,7.075403864,12.96975623,16.52756427,NaN,21.08229909,21.32507474,23.77680461,20.50704902,NaN,14.07155593,NaN,16.69229173,21.54767176
27.1539,14.45363654,7.654944162,10.50552035,12.15129867,18.0373853,16.64558516,40.7867155,54.3451255,NaN,49.22016073,51.4717487,25.14814865,23.413961,23.60181624,25.9680008,30.11646864,33.87833685,NaN,42.80049838,46.64676156,NaN,NaN,NaN,NaN,NaN,NaN,7.508480274,13.08561604,16.46262546,NaN,21.08485831,20.88385875,24.57741015,20.31346238,NaN,14.19092212,NaN,16.43904033,21.85091749
